0.4055,0.000,4.141,3.188
0.4079,0.000,4.141,3.188
0.4102,0.000,4.141,3.188
0.4196,0.000,4.141,3.188
0.4467,0.000,4.141,3.188
0.4737,0.000,4.141,3.188
0.5008,0.000,4.141,3.188
0.5278,0.000,4.141,3.188
0.5548,0.000,4.141,3.188
0.5819,0.000,4.141,3.188
0.6089,0.000,4.136,3.188
0.6360,0.000,4.136,3.188
0.6630,0.000,4.136,3.188
0.6900,0.000,4.136,3.188
0.7171,0.000,4.141,3.188
0.7441,0.000,4.146,3.188
0.7712,0.000,4.136,3.188
0.7982,3.804,2.944,3.188
0.8252,3.804,2.441,3.188
0.8523,3.804,2.417,3.188
0.8793,3.804,2.720,3.188
0.9064,3.804,2.852,3.188
0.9334,3.804,2.549,3.188
0.9604,3.804,2.456,3.188
0.9875,3.804,2.505,3.188
1.0145,3.804,2.598,3.188
1.0416,3.804,2.598,3.188
1.0686,3.804,2.549,3.188
1.0956,3.804,2.539,3.188
1.1227,3.804,2.534,3.188
1.1497,3.804,2.524,3.188
1.1768,3.804,2.524,3.188
1.2038,3.804,2.524,3.188
1.2309,3.804,2.485,3.188
1.2579,3.804,2.354,3.188
1.2849,0.000,3.604,3.188
1.3120,0.000,4.146,3.188
1.3390,0.000,4.165,3.188
1.3660,0.000,4.165,3.188
1.3931,0.000,4.170,3.188
1.4201,0.000,4.165,3.188
1.4472,0.000,4.170,3.188
1.4742,0.000,4.170,3.188
1.5012,0.000,4.170,3.188
1.5283,0.000,4.170,3.188
1.5553,0.000,4.170,3.188
1.5824,0.000,4.170,3.188
1.6094,0.000,4.170,3.188
1.6364,0.000,4.170,3.188
1.6635,3.804,2.656,3.188
1.6905,0.000,4.004,3.188
1.7176,0.000,4.165,3.188
1.7446,3.804,2.900,3.188
1.7716,3.804,2.397,3.188
1.7987,0.000,4.092,3.188
1.8257,0.000,4.160,3.188
1.8528,0.000,4.170,3.188
1.8798,0.000,4.175,3.188
1.9068,0.000,4.175,3.188
1.9339,0.000,4.175,3.188
1.9609,0.000,4.170,3.188
1.9880,0.000,4.170,3.188
2.0150,0.000,4.175,3.188
2.0420,3.804,2.827,3.188
2.0691,0.000,3.486,3.188
2.0961,0.000,4.165,3.188
2.1232,0.000,3.203,3.188
2.1502,3.804,2.422,3.188
2.1773,0.000,3.755,3.188
2.2043,0.000,4.155,3.188
2.2313,0.000,4.165,3.188
2.2584,0.000,4.165,3.188
2.2854,0.000,4.165,3.188
